Autor, Year, Title, Ed,Sub
Williams. Darona,2007, The Grimm reaper. Entrepeneur. rapper and graphic novelist Carey knows pain,Washington Post,Newspaper / Magazine
Twiddy. David / Associated Press,2007, Comics heed the call. Comic books find new audience when released first on mobile phones,Washington Post,Newspaper / Magazine
McDonough. Kevin / United Feature Syndicate,2009, Time to Get Over 'The Hill' [King of the Hill animation],Washington Post,Newspaper / Magazine
Coyle. Jake / Associated Press,2009, Chillingly mediocre. An unbelievable plot and prop flubs make 'Whiteout' almost laughable at times,Washington Post,Newspaper / Magazine
Porter. Christopher,2008, Let's Talk About Text. National Book Fest. Brad Meltzer. Superhero Bible Stories,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2008, We Need Another Hero or 2. Baltimore ComicCon,Washington Post,Newspaper / Magazine
Elmusa. Karmah,2009, Cleveland Brown takes the lead; A minor 'Family Guy' character earns his very own TV series,Washington Post,Newspaper / Magazine
Coyle. Jake / Associated Press,2009, Robots in human disguise. 'Surrogates' borrows from recent sci-fi flicks to create its bizarre virtual reality,Washington Post,Newspaper / Magazine
Associated Press,2008, A good man. Animator of 'Peanuts' television specials Bill Melendez dies,Washington Post,Newspaper / Magazine
Dixon. Glenn,2007, A hyphenate fanboy in exile. Junot Diaz shows the geek love in his first novel. Oscar Wao [comic book influences],Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, The Graphic Truth. Baltimore Comic-Con,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2006, Hidden harmonies. Author Brad Meltzer exposes D,Washington Post,Newspaper / Magazine
Xu Bing,2001, An Introduction to Square Word Calligraphy [Chinese fine arts], [Washington. DC. Sackler Gallery],
AFP,2000, 'Padre' de Mafalda gana premio quevedo [in Spanish. on Argentina cartoonist 'Quino'], [Washington. DC] El Tiempo Latino (December 22). A16,
Unknown,2000, Cuento del Doctor Seuss llega a la pantalla grande. Como el Grinh se robo la Navidad [in Spanish], [Washington. DC] Tiempo Latino (November 17). A21,
Berger. Arion,1998, Z good old days [The Mask of Zorro], ` Washington City Paper (July 17). 42,
Bollinger. Tim,2000, Tim Bollinger's Over-Developed Sense of Injustice [editorial cartoons],Wanganui. New Zealand. Tim Bollinger,
Morean. Sarah,2008, Interview. Kevin Cannon pt,Daily Cross Hatch,On line
Heater. Brian,2008, Interview. Jessica Abel Pt,Daily Cross Hatch,On line
Heater. Brian,2007, Interview. The Return of Joe Matt Pt,Daily Cross Hatch,On line
Cabron. Lou,2008, Records Broken By the Perry Bible Fellowship?[Nicholas Gurewitch interview], 10 Zen Monkeys (January 5),
Sirius. R.U,2006, Neil Gaiman has Lost His Clothes, 10zenmonkeys (October 4),
Frahm. Ole,1993, Comic und Kultur, 170 - Zeitschrift fur den Rest (5),
Newman. Isadore et al,1994, Qualitative analysis of comic strip culture. A methodological inquiry, 17th Annual Meeting of the Eastern Educational Research Association (Feb). Sarasota. FL,
Heater. Brian,2007, Interview. Jeffrey Brown Pt,Daily Cross Hatch,On line
Heater. Brian,2007, Interview. Jim Woodring Pt,Daily Cross Hatch,On line
Heater. Brian,2007, Interview. Will Vinton Pt,Daily Cross Hatch,On line
English. Austin,2008, Alex Holden, 20 Questions for Cartoonists blog,On line
English. Austin,2008, Sarah Glidden, 21 Questions for Cartoonists blog,On line
English. Austin,2008, Julia Wertz, 22 Questions for Cartoonists blog,On line
English. Austin,2008, Jesse Reklaw, 23 Questions for Cartoonists blog,On line
English. Austin,2008, Trevor Alixopulos, 24 Questions for Cartoonists blog,On line
English. Austin,2008, Tom Neely, 25 Questions for Cartoonists blog,On line
English. Austin,2008, David King, 26 Questions for Cartoonists blog,On line
English. Austin,2008, Renee French, 27 Questions for Cartoonists blog,On line
English. Austin,2008, Steve Lafler, 28 Questions for Cartoonists blog,On line
English. Austin,2008, Dash Shaw, 29 Questions for Cartoonists blog,On line
Best. Daniel,2008, Looking Back With Fred Hembeck, 20th Century Danny Boy blog,On line
Scott. Kevin,2009, Looking Back With Bob Almond, 20th Century Danny Boy blog,On line
Best. Daniel,2009, Looking Back With Armando Gil, 20th Century Danny Boy blog,On line
Best. Daniel,2009, Looking Back With Dave Simons, 20th Century Danny Boy blog,On line
Best. Daniel,2008, Looking Back With Alan Kupperberg. Thor, 20th Century Danny Boy blog,On line
Ramos. R,1991, Issues in contemporary Spain. A multimedia approach to teaching language and culture in context [using comics], 23rd Annual Meeting of the American Council on the Teaching of Foreign Languages (Nov). New York. NY,
Sinatra. Richard,1979, Using visuals in the composing process [such as comics], 24th Annual Meeting of the International Reading Association (Apr). Atlanta. GA,
Murphy. William A,1977, When the composition instructor is inadequate [using comic books in teaching], 28th Annual Meeting of the Conference of College Composition and Communication (Mar/Apr). Kansas City. MO,
Williams. Neil,1995, The comic book as course book. Why and how, 29th Annual Meeting of the Teachers of English to Speakers of Other Languages (Mar/Apr). Long Beach. CA,
Hill. Michael,1994, Slave to the rhythm. Animation at the service of starmaking, 2nd Annual Australia/New Zealand IASPM Conference. Southern Cross University. Lismore. USW,University
Mussulman. Tara,2009, Graphic Novel Discussion. Watchmen, 2News (March 3),
Schechter. H,1979, Patterns in popular culture. The use of popular art in the composition course [using comics in teaching], 30th Annual Meeting of the Conference of College Composition and Communication (Apr). Minneapolis. MN,
Ruehr. R,1984, Some characteristics and writing problems of technically oriented students [comics reading], 35th Annual Meeting of the Conference on College Composition and Communication (Mar). New York. NY,
Conroy. E,1992, The Comic Book as a Communication Vehicle to Children in the Promotion of Positive Healthy Lifestyles, 36th International Alcohol and Drug Dependence Congress (Aug). Glasgow. Scotland. pp,
Unknown,2008, Cartooning for Peace draws a line against intolerance, 3News (November 12),
Hill. Michael,1995, Rotography. Animating jazz in the Betty Boop cartoons and rock in music video, 3rd Annual Australia/New Zealand IASPM Conference. University of Melbourne,University
Stahler. Jeff,2007, Caption Contest No, 4 - Humor us. won't you? Columbus Dispatch (March 17),
Von Ehrenfried. Manfred,1989, Ideas for motivating young people towards careers in space suring the International Space Year and beyond [using comics to teach about space], 40th International Astronautical Congress (Oct). Malaga. Spain,
Mulcaire. T,1990, Composition and the study of popular culture [using comics], 41st Annual Meeting of the Conference on College Composition and Communication (Mar). Chicago. IL,
Agee. Hugh,1985, Adolescent literature is more than the YA novel. Making a case for biography [biographies in comic books], 4th Annual Meeting of the National Council of Teachers of English (Spring Conference; Mar). Houston. TX,Conference
Brothers. David,2009, Adam Warren Week. The Interview, 4th! Letter blog (July 23),
Contino. Jennifer M,2009, Origins Of A Comic Book Junkie Pt, 5 The Ways To Stretch A Buck! Comicon's The Pulse (March 23),
Workman. J. E.,1993, Occupational stereotypes in cartoons and comic strips, 50th Annual Meeting of the International Textile and Apparel Association (Nov). White Sulphur Springs. WV,
Stevens. John D,1976, 'Color' in the comic strips. Racial stereotyping trends in black and in white newspapers, 59th Annual Meeting of the Association for Education in Journalism (Jul/Aug). College Park. MD,
Gordon. Ian,1990, Ginger Meggs. America. and Australian National Identity, 5th Annual American Association of Australian Literary Studies Conference. Winter Park. FL,
Hernandez. Gilbert & Jaime,1989, Complete Love & Rockets Vol, 6. Duck Feet. Westlake Village. CA. Fantagraphics Books,
Silverman. N,1979, How can we be learning English when we're having so much fun [using comics in teaching English]?, 69th Annual Meeting of the National Council of Teachers of English (Nov). San Francisco. CA,
Lamb. Chris,1988, Doonesbury and the limits of satire, 71st Annual Meeting of the Association for Education in Journalism and Mass Communication (Jul). Portland. OR,
Gillmore. M,1992, The process and pitfalls of developing a culturally relevant curriculum to reduce AIDS among sexually active teenagers [including comics], 73rd Annual Meeting of the American Educational Research Association (Apr). San Francisco. CA,
Nyberg. Amy K,1991, Conflicting advice. Parents. the popular press and the comic book controversy. 1948-1954, 74th Annual Meeting of the Association for Education in Journalism and Mass Communication (Aug). Boston. MA,
Adler-Kassner. Linda,1995, 'Why won't you just read it?'. Comic books and community in the 1950s, 78th Annual Meeting of the Association for Education in Journalism and Mass Communication (Aug). Washington. DC,
Hayward. P,1993, What is the color of apprehension? An activity for a speaking apprehension course [using comics], 79th Annual Meeting of the Speech Communication Association (Nov). Miami Beach. FL,
Thorn. Matthew Allen,1989, Adolescent liminality in Japanese Manga, 7th Annual Association of Teachers of Japanese Seminar. Washington. DC. Mar 16,
Greaney. Vincent and John Quinn,1978, Factors related to amount and type of leisure time reading, 7th Annual Meeting of the International Reading Association World Congress on Reading (Aug). Hamburg. West Germany,
Broersma. David,1994, Do chickens have lips? Conversational implicature in the ESL classroom [using comics to teach English], 8th Annual Meeting of the International Conference on Pragmatics and Language Learning (Feb). Urbana. IL,
Palumbo. Donald,1979, The use of comics as an approach to introducing the techniques and terms of narrative to novice readers, 8th Annual Meeting of the Popular Culture Association of the South (Oct). Louisville. KY,
Blair. T. R. and E. C. Turner.,1982,Basic skill emphasis: Its effect on independent reading development [comics and reading], 8th Annual Meeting of the Southern Regional Conference of the International Reading Association (Nov). Biloxi. MS,
Flannagan. Sean and Andrew Krucoff,2006, 92YQ. Gary Panter [interview], 92Y Blog (October 9),
Groensteen. Thierry,1997, Histoire de la bande dessinE9e muette I [wordless comics part 1. in French], 9e Art,Newspaper / Magazine
Groensteen. Thierry,1997, Historie de la bande dessinee muette. part 1 [wordless comics; in French], 9e Art,Newspaper / Magazine
Groensteen. Thierry,1997, Historie de la bande dessinee muette. part 2 [wordless comics; in French], 9e Art,Newspaper / Magazine
Lefevre. Pascal,1997, Pour une approche sensuelle de la bande dessinee, 9e Art,Newspaper / Magazine
Groensteen. Thierry,1998, Histoire de la bande dessinE9e muette II [wordless comics part 2. in French], 9e Art,Newspaper / Magazine
Dessaux. Nicolas,2001, L'Arbre et Le Livre. Kabbale et Torah dans 'oeuvre de Joann Sfar [in French], 9e Art,Newspaper / Magazine
Dias de Deus. Antonio,1982, El Mundo Comico [Nineteenth century Spanish cartoon magazine], A Capital [Portugal newspaper] (September 2),
Dias de Deus. Antonio,1982, Pellicer [Nineteenth century Spanish cartoonist], A Capital [Portugal newspaper] (September 23),
Nickel. Scott,2009, 20 Questions with Dan Piraro, A Nickel's Worth blog (August 20),
Nickel. Scott,2009, 20 Questions with Peter Bagge, A Nickel's Worth blog (June 7),
Andelman. Bob,2006, Abraham Foxman Interview [on Eisner], A Spirited Life.com (July 1),Newspaper / Magazine
Andelman. Bob,2006, Scott Hampton and Bo Hampton Interview [on Eisner], A Spirited Life.com (July 17),Newspaper / Magazine
Andelman. Bob,2006, Denis Kitchen Interview [on Eisner], A Spirited Life.com (July 8),Newspaper / Magazine
Andelman. Bob,2006, Mike Richardson Interview [on Will Eisner], A Spirited Life.com (June 11),Newspaper / Magazine
Andelman. Bob,2006, Drew Friedman Interview [on Eisner], A Spirited Life.com (June 25),Newspaper / Magazine
Andelman. Bob,2006, Howard Chaykin Interview [on Eisner], A Spirited Life.com (June 8),Newspaper / Magazine
Murray. Noel,2006, The Perils Of Serialization. Part 2A [Jack Jackson], A.V. Club Blog (October 15),Newspaper / Magazine
Astor. David,1998, AAEC members address Ohio State Cartoon Festival [from Editor & Publisher (November 7)], AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Childs. Kelvin,1998, Cross words at the Post. Herblock and a Coworker Debate a Cartoon [reprinted from Editor & Publisher. October 31. 1998], AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Childs. Kelvin,1998, Cross words at the Post. Herblock and a Coworker Debate a Cartoon [from Editor & Publisher (October 31)], AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Curtis. Stacy,1998, Microsoft? NBC? Who needs em? Hot Tips for Cartoonists Seeking Fame and $$$$ on the World Wide Web, AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Kim. Eun-Kyung (Associated Press),1998, Internal affairs . How Cartoons and Their Organs Approached a Delicate Predicament [President Clinton & Lewinsky scandal cartoons], AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Lamb. Chris,1998, Veteran's day . In His Eighth Decade. 'Tommy' Thompson Takes Up Editorial Cartooning in San Diego [from Editor & Publisher (November 28)], AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Unknown,1998, Parthenon hosts Aguila show [Eye of the Eagle. 50 Years of Editorial Cartoons by Dani D'Umuk Aguila exhibit], AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Unknown,1998, Rosen creates memorial to women war veterans, AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Rogers. V,1998, Cigar odor . A Year-Old John Branch Cartoon Raises Issues of Racism and Press Freedom in Rhode Island, AAEC (Association of American Editorial Cartoonists) Notebook (Fall),
Astor. David,1996, Overnight success took a long time [Marie Woolf; from Editor & Publisher], AAEC (Association of American Editorial Cartoonists) Notebook (Spring),
Astor. David,1996, Toon-full Weekend For A New Museum [from Editor & Publisher], AAEC (Association of American Editorial Cartoonists) Notebook (Spring),
Cuthbert. David,1996, Quick on the draw [African-American cartoonist John Slade], AAEC (Association of American Editorial Cartoonists) Notebook (Spring),
